D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
4,5,1,1,"T(5, 4, 1)",0.38196601125,"(1, 5)",1.38196601125,"(1, 3)",1.3819660112501051,"[(1, 4), (2, 5)]",2.0,"(1, 5)",1.38196601125,"(1, 3)",1.38196601125,"(1, 4)",0.829913513374,"(2, 4)",1.0,HP
4,6,1,2,"T(6, 4, 1)",0.324869129433,"(1, 4)",0.7639320225,"(2, 4)",0.99999999999999967,"[(1, 5), (1, 6)]",1.267949192431,"(1, 5)",0.697224362268,"(1, 6)",1.267949192431,"(1, 4)",0.7639320225,"(2, 4)",1.0,HP
4,7,1,3,"T(7, 4, 1)",0.295532185741,"(1, 4)",0.726927136932,"(2, 4)",1.0,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.608617619369,"(1, 6)",0.821419867769,"(1, 4)",0.726927136932,"(2, 4)",1.0,HE
4,8,1,4,"T(8, 4, 1)",0.277406895678,"(1, 4)",0.702929455637,"(2, 4)",0.99999999999999944,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.560688328316,"(1, 6)",0.743751621156,"(1, 4)",0.702929455637,"(2, 4)",1.0,HE
4,9,1,5,"T(9, 4, 1)",0.265034019537,"(1, 4)",0.686017054597,"(2, 4)",0.99999999999999956,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.530010046873,"(1, 6)",0.697224362268,"(1, 4)",0.686017054597,"(2, 4)",1.0,HE
4,10,1,6,"T(10, 4, 1)",0.256029277275,"(1, 4)",0.673423486687,"(2, 4)",0.99999999999999878,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.508521301748,"(1, 6)",0.665705557641,"(1, 4)",0.673423486687,"(2, 4)",1.0,HE
5,6,1,1,"T(6, 5, 1)",0.267949192431,"(1, 6)",1.0,"(1, 3)",1.0000000000000007,"[(1, 4), (2, 6)]",1.267949192431,"(1, 6)",1.0,"(1, 4)",1.0,"(1, 5)",0.697224362268,"(2, 5)",0.881716134423,HP
5,7,1,2,"T(7, 5, 1)",0.225377100496,"(1, 5)",0.608617619369,"(2, 5)",0.82659918497656781,"[(1, 6), (2, 7)]",1.0,"(1, 6)",0.585786437627,"(2, 7)",1.0,"(1, 5)",0.608617619369,"(2, 5)",0.826599184977,HP
5,8,1,3,"T(8, 5, 1)",0.202256672304,"(1, 5)",0.560688328316,"(2, 5)",0.7931222928450351,"[(1, 5), (2, 5)]",0.793122292845,"(1, 6)",0.49649550106,"(2, 7)",0.7639320225,"(1, 5)",0.560688328316,"(2, 5)",0.793122292845,HE
5,9,1,4,"T(9, 5, 1)",0.187603211587,"(1, 5)",0.530010046873,"(2, 5)",0.77033018886130944,"[(1, 5), (2, 5)]",0.770330188861,"(1, 6)",0.448365906223,"(2, 7)",0.671127818029,"(1, 5)",0.530010046873,"(2, 5)",0.770330188861,HE
5,10,1,5,"T(10, 5, 1)",0.177450330549,"(1, 5)",0.508521301748,"(2, 5)",0.75371906063588112,"[(1, 5), (2, 5)]",0.753719060636,"(1, 6)",0.417547032306,"(2, 7)",0.616815328392,"(1, 5)",0.508521301748,"(2, 5)",0.753719060636,HE
6,7,1,1,"T(7, 6, 1)",0.198062264195,"(1, 7)",0.753020396283,"(1, 3)",0.75302039628253392,"[(1, 5), (2, 7)]",1.0,"(1, 7)",0.753020396283,"(1, 4)",0.753020396283,"(1, 6)",0.585786437627,"(3, 6)",0.84579349264,HE
6,8,1,2,"T(8, 6, 1)",0.166717008238,"(2, 6)",0.544675312943,"(2, 7)",0.71485751817021581,"[(1, 6), (3, 6)]",0.771532756025,"(1, 7)",0.491518800819,"(2, 8)",0.736922589687,"(1, 6)",0.49649550106,"(3, 6)",0.771532756025,HE
6,9,1,3,"T(9, 6, 1)",0.148743856491,"(2, 6)",0.496551947059,"(1, 7)",0.63604661156146769,"[(1, 6), (3, 6)]",0.725977786783,"(1, 7)",0.411636009315,"(2, 8)",0.655238555355,"(1, 6)",0.448365906223,"(3, 6)",0.725977786783,HE
6,10,1,4,"T(10, 6, 1)",0.137046564864,"(2, 6)",0.46464414606,"(1, 7)",0.59403203581855402,"[(1, 6), (3, 6)]",0.694773355494,"(1, 7)",0.367607188292,"(2, 8)",0.574518683069,"(1, 6)",0.417547032306,"(3, 6)",0.694773355494,HE
7,8,1,1,"T(8, 7, 1)",0.152240934977,"(1, 8)",0.585786437627,"(1, 3)",0.58578643762690508,"[(1, 6), (3, 8)]",1.0,"(1, 8)",0.585786437627,"(1, 5)",0.585786437627,"(1, 7)",0.491518800819,"(3, 7)",0.694227852001,HE
7,9,1,2,"T(9, 7, 1)",0.128875098643,"(2, 7)",0.489243085812,"(3, 7)",0.58578643762690419,"[(1, 7), (3, 8)]",0.655238555355,"(1, 8)",0.413094015707,"(3, 9)",0.585786437627,"(1, 7)",0.411636009315,"(3, 7)",0.636046611561,HE
7,10,1,3,"T(10, 7, 1)",0.114796625444,"(2, 7)",0.43665006013,"(3, 7)",0.58578643762690519,"[(1, 7), (3, 7)]",0.594032035819,"(1, 8)",0.345682880224,"(3, 9)",0.585786437627,"(1, 7)",0.367607188292,"(3, 7)",0.594032035819,HE
