D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
4,5,1,1,"T(5, 4, 1)",0.38196601125,"(1, 5)",1.38196601125,"(1, 3)",1.3819660112501051,"[(1, 4), (2, 5)]",2.0,"(1, 5)",1.38196601125,"(1, 3)",1.38196601125,"(1, 4)",0.829913513374,"(2, 4)",1.0,HP
4,6,1,2,"T(6, 4, 1)",0.324869129433,"(1, 4)",0.7639320225,"(2, 4)",0.99999999999999967,"[(1, 5), (1, 6)]",1.267949192431,"(1, 5)",0.697224362268,"(1, 6)",1.267949192431,"(1, 4)",0.7639320225,"(2, 4)",1.0,HP
4,7,1,3,"T(7, 4, 1)",0.295532185741,"(1, 4)",0.726927136932,"(2, 4)",1.0,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.608617619369,"(1, 6)",0.821419867769,"(1, 4)",0.726927136932,"(2, 4)",1.0,HE
4,8,1,4,"T(8, 4, 1)",0.277406895678,"(1, 4)",0.702929455637,"(2, 4)",0.99999999999999944,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.560688328316,"(1, 6)",0.743751621156,"(1, 4)",0.702929455637,"(2, 4)",1.0,HE
4,9,1,5,"T(9, 4, 1)",0.265034019537,"(1, 4)",0.686017054597,"(2, 4)",0.99999999999999956,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.530010046873,"(1, 6)",0.697224362268,"(1, 4)",0.686017054597,"(2, 4)",1.0,HE
4,10,1,6,"T(10, 4, 1)",0.256029277275,"(1, 4)",0.673423486687,"(2, 4)",0.99999999999999878,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.508521301748,"(1, 6)",0.665705557641,"(1, 4)",0.673423486687,"(2, 4)",1.0,HE
4,11,1,7,"T(11, 4, 1)",0.249173811964,"(1, 4)",0.66366803913,"(2, 4)",0.99999999999999933,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.492571926019,"(1, 6)",0.642781595381,"(1, 4)",0.66366803913,"(2, 4)",1.0,HE
4,12,1,8,"T(12, 4, 1)",0.243776393618,"(1, 4)",0.655881922663,"(2, 4)",0.999999999999999,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.48023989471,"(1, 6)",0.625297107062,"(1, 4)",0.655881922663,"(2, 4)",1.0,HE
4,13,1,9,"T(13, 4, 1)",0.239414688449,"(1, 4)",0.649520086521,"(2, 4)",0.99999999999999956,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.470408278894,"(1, 6)",0.611493842332,"(1, 4)",0.649520086521,"(2, 4)",1.0,HE
4,14,1,10,"T(14, 4, 1)",0.235815661379,"(1, 4)",0.64422258355,"(2, 4)",0.99999999999999989,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.462380602089,"(1, 6)",0.600306267813,"(1, 4)",0.64422258355,"(2, 4)",1.0,HE
