D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
3,4,1,1,"T(4, 3, 1)",0.585786437627,"(1, 4)",2.0,"(1, 3)",1.9999999999999998,"[(1, 3), (1, 4)]",2.0,"(1, 4)",2.0,"(2, 4)",2.0,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,5,1,2,"T(5, 3, 1)",0.518805695908,"(1, 3)",1.0,"(1, 4)",1.0000000000000002,"[(1, 4), (1, 5)]",2.0,"(1, 4)",0.829913513374,"(1, 5)",2.0,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,6,1,3,"T(6, 3, 1)",0.485863070665,"(1, 3)",1.0,"(1, 4)",1.0,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.7639320225,"(1, 5)",0.913869802349,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,6,2,2,"T(6, 3, 2)",0.438447187191,"(1, 5)",0.657076917223,"(2, 6)",1.0,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.657076917223,"(2, 6)",1.0,"(1, 4)",0.631350628113,"(2, 4)",1.0,IGUAIS
3,7,1,4,"T(7, 3, 1)",0.465929803277,"(1, 3)",1.0,"(1, 4)",1.0000000000000002,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.726927136932,"(1, 5)",0.86736250642,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,7,2,3,"T(7, 3, 2)",0.398320868117,"(1, 4)",0.596146870568,"(2, 4)",0.99999999999999989,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.585786437627,"(2, 6)",0.84579349264,"(1, 4)",0.596146870568,"(2, 4)",1.0,HE
3,8,1,5,"T(8, 3, 1)",0.452493386835,"(1, 3)",1.0,"(1, 4)",0.99999999999999978,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.702929455637,"(1, 5)",0.837722339832,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,8,2,4,"T(8, 3, 2)",0.373801931473,"(1, 4)",0.573770365336,"(2, 4)",0.99999999999999978,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.544865987479,"(2, 6)",0.771532756025,"(1, 4)",0.573770365336,"(2, 4)",1.0,HE
3,8,3,3,"T(8, 3, 3)",0.354248688935,"(1, 6)",0.51071142819,"(2, 7)",0.7075984147753791,"[(1, 6), (2, 7)]",0.707598414775,"(1, 6)",0.51071142819,"(2, 7)",0.707598414775,"(1, 5)",0.506942505128,"(2, 5)",0.669213049495,HP
3,9,1,6,"T(9, 3, 1)",0.442798083457,"(1, 3)",1.0,"(1, 4)",0.99999999999999911,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.686017054597,"(1, 5)",0.817042865588,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,9,2,5,"T(9, 3, 2)",0.357159787489,"(1, 4)",0.55817444466,"(2, 4)",0.99999999999999956,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.517959538127,"(2, 6)",0.725977786783,"(1, 4)",0.55817444466,"(2, 4)",1.0,HE
3,9,3,4,"T(9, 3, 3)",0.327176298999,"(1, 5)",0.479073317752,"(2, 5)",0.64651968292800011,"[(1, 5), (2, 5)]",0.646519682928,"(1, 6)",0.46721509682,"(2, 7)",0.636832420453,"(1, 5)",0.479073317752,"(2, 5)",0.646519682928,HE
3,10,1,7,"T(10, 3, 1)",0.435462796004,"(1, 3)",1.0,"(1, 4)",1.0000000000000002,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.673423486687,"(1, 5)",0.801745470058,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
