D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB1,Conectividade Aumentada FB,Aresta FB2,Conectividade Aumentada FB2,Melhor Heuristica
38,76,1,38,"T(1, 38, 38)",0.0028982253388643974,"(1, 39)",0.010959964106213639,"(1, 38)",0.011344633923189518,"(11, 71)",0.017083641238601389,"(11, 57)",0.017083641238600851,HE
56,112,1,56,"T(1, 56, 56)",0.0013276854236237974,"(1, 57)",0.005115495861150017,"(1, 56)",0.0052377829637456439,"(16, 110)",0.0078160469096563816,"(16, 109)",0.0078160469096559514,HE
49,97,1,48,"T(1, 48, 49)",0.0017484252026699128,"(1, 50)",0.0067011746383319522,"(1, 49)",0.0068825368839135377,"(14, 64)",0.01024466699584293,"(14, 76)",0.010244666995842311,HE
49,98,1,49,"T(1, 49, 49)",0.0017368443274455171,"(1, 50)",0.0066547659708507218,"(1, 49)",0.006836385998525484,"(14, 77)",0.010227895747828494,"(14, 56)",0.01022789574782834,HE
56,112,1,56,"T(1, 56, 56)",0.0013276854236237974,"(1, 57)",0.005115495861150017,"(1, 56)",0.0052377829637456439,"(16, 110)",0.0078160469096563816,"(16, 109)",0.0078160469096559514,HE
60,119,1,59,"T(1, 59, 60)",0.0011620022502665337,"(1, 61)",0.0044896252425250189,"(1, 60)",0.0045891683233920009,"(17, 89)",0.0068101622483434055,"(17, 83)",0.006810162248343344,HE
67,133,1,66,"T(1, 66, 66)",0.00093033909042028755,"(1, 68)",0.003607931676311999,"(1, 67)",0.0036796682883413418,"(19, 75)",0.0054535792093630712,"(19, 95)",0.0054535792093628466,HE
67,134,1,67,"T(1, 67, 67)",0.00092582212639028927,"(1, 68)",0.0035898214510703204,"(1, 67)",0.0036616280210515942,"(19, 121)",0.0054471092030080022,"(19, 74)",0.0054471092030079831,HE
74,148,1,74,"T(1, 74, 74)",0.00075827599455477359,"(1, 75)",0.0029490829126031354,"(1, 74)",0.0030025197986439773,"(21, 126)",0.0044604482733084389,"(21, 116)",0.0044604482733079332,HE
78,155,1,77,"T(1, 77, 78)",0.00068505813071048833,"(1, 79)",0.0026685959255996999,"(1, 78)",0.0027142472684933594,"(22, 97)",0.0040160698053587022,"(22, 85)",0.0040160698053584862,HE
81,162,1,81,"T(1, 81, 81)",0.00063241056066683297,"(1, 82)",0.0024657010274601867,"(1, 81)",0.0025065344899937985,"(23, 140)",0.0037192812074321765,"(23, 88)",0.0037192812074321288,HE
85,169,1,84,"T(1, 84, 85)",0.00057628583933188855,"(1, 86)",0.0022498856028624128,"(1, 85)",0.0022852325857938586,"(24, 109)",0.0033787820940586188,"(24, 129)",0.0033787820940577393,HE
85,170,1,85,"T(1, 85, 85)",0.00057407766301665675,"(1, 86)",0.0022410324654547229,"(1, 85)",0.0022764056984955704,"(24, 158)",0.0033756309459173879,"(24, 100)",0.0033756309459167717,HE
92,183,1,91,"T(1, 91, 92)",0.00049150189072882727,"(1, 93)",0.0019224934952574654,"(1, 92)",0.0019504173774273913,"(26, 156)",0.0028818754041808241,"(26, 96)",0.0028818754041805895,HE
92,184,1,92,"T(1, 92, 92)",0.00048976129186641105,"(1, 93)",0.0019155153640224142,"(1, 92)",0.0019434582261315374,"(26, 163)",0.0028794530265113106,"(26, 119)",0.0028794530265108249,HE
99,198,1,99,"T(1, 99, 99)",0.00042274222157837364,"(1, 100)",0.0016560811498250781,"(1, 99)",0.0016785368243372265,"(28, 146)",0.0024850778337435178,"(28, 136)",0.0024850778337431028,HE
