D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
14,16,1,2,"T(1, 2, 14)",0.0389,"(1, 15)",0.1491,"(1, 14)",0.148,"(2, 16)",0.1585,HP
14,17,1,3,"T(1, 3, 14)",0.0354,"(1, 15)",0.1319,"(1, 14)",0.1333,"(3, 14)",0.1505,HE
14,18,1,4,"T(1, 4, 14)",0.0326,"(1, 15)",0.1193,"(1, 14)",0.1223,"(3, 15)",0.1444,HE
14,19,1,5,"T(1, 5, 14)",0.0305,"(1, 15)",0.1097,"(1, 14)",0.1139,"(4, 14)",0.138,HE
14,20,1,6,"T(1, 6, 14)",0.0288,"(1, 15)",0.1022,"(1, 14)",0.1072,"(4, 14)",0.1372,HE
14,21,1,7,"T(1, 7, 14)",0.0273,"(1, 15)",0.0962,"(1, 14)",0.1017,"(4, 14)",0.1361,HE
14,22,1,8,"T(1, 8, 14)",0.0262,"(1, 15)",0.0913,"(1, 14)",0.0972,"(4, 14)",0.1345,HE
14,23,1,9,"T(1, 9, 14)",0.0252,"(1, 15)",0.0872,"(1, 14)",0.0934,"(4, 14)",0.1326,HE
14,24,1,10,"T(1, 10, 14)",0.0243,"(1, 15)",0.0838,"(1, 14)",0.0902,"(4, 14)",0.1302,HE
14,25,1,11,"T(1, 11, 14)",0.0236,"(1, 15)",0.0809,"(1, 14)",0.0874,"(4, 14)",0.1276,HE
14,26,1,12,"T(1, 12, 14)",0.0229,"(1, 15)",0.0783,"(1, 14)",0.085,"(4, 14)",0.1249,HE
14,27,1,13,"T(1, 13, 14)",0.0224,"(1, 15)",0.0761,"(1, 14)",0.0829,"(4, 14)",0.1223,HE
14,28,1,14,"T(1, 14, 14)",0.0219,"(1, 15)",0.0742,"(1, 14)",0.081,"(4, 14)",0.1199,HE
