D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
22,24,1,2,"T(1, 2, 22)",0.0172,"(1, 23)",0.0677,"(1, 22)",0.0676,"(3, 22)",0.0691,HP
22,25,1,3,"T(1, 3, 22)",0.016,"(1, 23)",0.0624,"(1, 22)",0.0625,"(3, 24)",0.0655,HE
22,25,2,2,"T(2, 2, 22)",0.0159,"(1, 24)",0.0645,"(1, 23)",0.0644,"(6, 20)",0.0645,HP
22,26,1,4,"T(1, 4, 22)",0.015,"(1, 23)",0.0579,"(1, 22)",0.0584,"(4, 22)",0.0629,HE
22,26,2,3,"T(2, 3, 22)",0.0148,"(1, 24)",0.0605,"(1, 23)",0.0603,"(4, 23)",0.0611,HP
22,27,1,5,"T(1, 5, 22)",0.0141,"(1, 23)",0.0541,"(1, 22)",0.0549,"(4, 25)",0.0608,HE
22,27,2,4,"T(2, 4, 22)",0.0139,"(1, 24)",0.0567,"(1, 23)",0.0567,"(4, 24)",0.0586,Iguais
22,27,3,3,"T(3, 3, 22)",0.0138,"(1, 25)",0.0579,"(1, 24)",0.0578,"(1, 26)",0.0579,HP
22,28,1,6,"T(1, 6, 22)",0.0134,"(1, 23)",0.051,"(1, 22)",0.052,"(5, 22)",0.0592,HE
22,28,2,5,"T(2, 5, 22)",0.0131,"(1, 24)",0.0533,"(1, 23)",0.0537,"(5, 23)",0.0566,HE
22,28,3,4,"T(3, 4, 22)",0.013,"(1, 25)",0.0551,"(1, 24)",0.0549,"(4, 27)",0.0554,HP
22,29,1,7,"T(1, 7, 22)",0.0128,"(1, 23)",0.0483,"(1, 22)",0.0495,"(5, 22)",0.058,HE
22,29,2,6,"T(2, 6, 22)",0.0125,"(1, 24)",0.0505,"(1, 23)",0.051,"(5, 23)",0.0552,HE
22,29,3,5,"T(3, 5, 22)",0.0123,"(1, 25)",0.0523,"(1, 24)",0.0523,"(5, 24)",0.0536,Iguais
