D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
71,141,1,70,"T(1, 70, 71)",0.0008,"(1, 72)",0.0032,"(1, 71)",0.0033,"(20, 71)",0.0049,HE
71,142,1,71,"T(1, 71, 71)",0.0008,"(1, 72)",0.0032,"(1, 71)",0.0033,"(20, 71)",0.0048,HE
72,143,1,71,"T(1, 71, 72)",0.0008,"(1, 73)",0.0031,"(1, 72)",0.0032,"(20, 72)",0.0047,HE
72,144,1,72,"T(1, 72, 72)",0.0008,"(1, 73)",0.0031,"(1, 72)",0.0032,"(20, 72)",0.0047,HE
73,145,1,72,"T(1, 72, 73)",0.0008,"(1, 74)",0.003,"(1, 73)",0.0031,"(21, 73)",0.0046,HE
73,146,1,73,"T(1, 73, 73)",0.0008,"(1, 74)",0.003,"(1, 73)",0.0031,"(21, 73)",0.0046,HE
74,147,1,73,"T(1, 73, 74)",0.0008,"(1, 75)",0.003,"(1, 74)",0.003,"(21, 79)",0.0045,Iguais
74,148,1,74,"T(1, 74, 74)",0.0008,"(1, 75)",0.0029,"(1, 74)",0.003,"(21, 126)",0.0045,HE
75,149,1,74,"T(1, 74, 75)",0.0007,"(1, 76)",0.0029,"(1, 75)",0.0029,"(21, 75)",0.0043,Iguais
75,150,1,75,"T(1, 75, 75)",0.0007,"(1, 76)",0.0029,"(1, 75)",0.0029,"(21, 75)",0.0043,Iguais
76,151,1,75,"T(1, 75, 76)",0.0007,"(1, 77)",0.0028,"(1, 76)",0.0029,"(22, 76)",0.0042,HE
76,152,1,76,"T(1, 76, 76)",0.0007,"(1, 77)",0.0028,"(1, 76)",0.0028,"(22, 76)",0.0042,Iguais
77,153,1,76,"T(1, 76, 77)",0.0007,"(1, 78)",0.0027,"(1, 77)",0.0028,"(22, 77)",0.0041,HE
77,154,1,77,"T(1, 77, 77)",0.0007,"(1, 78)",0.0027,"(1, 77)",0.0028,"(22, 77)",0.0041,HE
78,155,1,77,"T(1, 77, 78)",0.0007,"(1, 79)",0.0027,"(1, 78)",0.0027,"(22, 97)",0.004,Iguais
78,156,1,78,"T(1, 78, 78)",0.0007,"(1, 79)",0.0027,"(1, 78)",0.0027,"(22, 78)",0.004,Iguais
79,157,1,78,"T(1, 78, 79)",0.0007,"(1, 80)",0.0026,"(1, 79)",0.0026,"(22, 79)",0.0039,Iguais
79,158,1,79,"T(1, 79, 79)",0.0007,"(1, 80)",0.0026,"(1, 79)",0.0026,"(22, 79)",0.0039,Iguais
80,159,1,79,"T(1, 79, 80)",0.0007,"(1, 81)",0.0025,"(1, 80)",0.0026,"(23, 80)",0.0038,HE
80,160,1,80,"T(1, 80, 80)",0.0006,"(1, 81)",0.0025,"(1, 80)",0.0026,"(23, 80)",0.0038,HE
81,161,1,80,"T(1, 80, 81)",0.0006,"(1, 82)",0.0025,"(1, 81)",0.0025,"(23, 81)",0.0037,Iguais
81,162,1,81,"T(1, 81, 81)",0.0006,"(1, 82)",0.0025,"(1, 81)",0.0025,"(23, 140)",0.0037,Iguais
82,163,1,81,"T(1, 81, 82)",0.0006,"(1, 83)",0.0024,"(1, 82)",0.0025,"(23, 82)",0.0036,HE
82,164,1,82,"T(1, 82, 82)",0.0006,"(1, 83)",0.0024,"(1, 82)",0.0024,"(23, 82)",0.0036,Iguais
83,165,1,82,"T(1, 82, 83)",0.0006,"(1, 84)",0.0024,"(1, 83)",0.0024,"(24, 83)",0.0035,Iguais
83,166,1,83,"T(1, 83, 83)",0.0006,"(1, 84)",0.0023,"(1, 83)",0.0024,"(24, 83)",0.0035,HE
84,167,1,83,"T(1, 83, 84)",0.0006,"(1, 85)",0.0023,"(1, 84)",0.0023,"(24, 84)",0.0035,Iguais
84,168,1,84,"T(1, 84, 84)",0.0006,"(1, 85)",0.0023,"(1, 84)",0.0023,"(24, 84)",0.0035,Iguais
85,169,1,84,"T(1, 84, 85)",0.0006,"(1, 86)",0.0022,"(1, 85)",0.0023,"(24, 109)",0.0034,HE
85,170,1,85,"T(1, 85, 85)",0.0006,"(1, 86)",0.0022,"(1, 85)",0.0023,"(24, 158)",0.0034,HE
