D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
11,21,1,10,"T(1, 10, 11)",0.0368,"(1, 12)",0.119,"(1, 11)",0.1321,"(3, 11)",0.1803,HE
11,22,1,11,"T(1, 11, 11)",0.0357,"(1, 12)",0.1151,"(1, 11)",0.1284,"(3, 11)",0.1753,HE
12,23,1,11,"T(1, 11, 12)",0.0307,"(1, 13)",0.1014,"(1, 12)",0.1118,"(4, 12)",0.1526,HE
12,24,1,12,"T(1, 12, 12)",0.0299,"(1, 13)",0.0984,"(1, 12)",0.1089,"(4, 12)",0.1501,HE
13,25,1,12,"T(1, 12, 13)",0.026,"(1, 14)",0.0874,"(1, 13)",0.0957,"(4, 13)",0.1444,HE
13,26,1,13,"T(1, 13, 13)",0.0254,"(1, 14)",0.085,"(1, 13)",0.0934,"(4, 13)",0.1406,HE
14,27,1,13,"T(1, 13, 14)",0.0224,"(1, 15)",0.0761,"(1, 14)",0.0829,"(4, 14)",0.1223,HE
14,28,1,14,"T(1, 14, 14)",0.0219,"(1, 15)",0.0742,"(1, 14)",0.081,"(4, 14)",0.1199,HE
15,29,1,14,"T(1, 14, 15)",0.0194,"(1, 16)",0.0668,"(1, 15)",0.0724,"(4, 15)",0.1038,HE
15,30,1,15,"T(1, 15, 15)",0.019,"(1, 16)",0.0652,"(1, 15)",0.0709,"(4, 15)",0.1019,HE
16,31,1,15,"T(1, 15, 16)",0.017,"(1, 17)",0.0592,"(1, 16)",0.0638,"(5, 16)",0.0979,HE
16,32,1,16,"T(1, 16, 16)",0.0167,"(1, 17)",0.0578,"(1, 16)",0.0625,"(5, 16)",0.0979,HE
17,33,1,16,"T(1, 16, 17)",0.015,"(1, 18)",0.0527,"(1, 17)",0.0567,"(5, 17)",0.0865,HE
17,34,1,17,"T(1, 17, 17)",0.0147,"(1, 18)",0.0516,"(1, 17)",0.0556,"(5, 17)",0.0856,HE
18,35,1,17,"T(1, 17, 18)",0.0134,"(1, 19)",0.0473,"(1, 18)",0.0506,"(5, 18)",0.0753,HE
18,36,1,18,"T(1, 18, 18)",0.0131,"(1, 19)",0.0463,"(1, 18)",0.0497,"(5, 18)",0.0744,HE
19,37,1,18,"T(1, 18, 19)",0.012,"(1, 20)",0.0426,"(1, 19)",0.0455,"(6, 19)",0.0681,HE
19,38,1,19,"T(1, 19, 19)",0.0118,"(1, 20)",0.0418,"(1, 19)",0.0447,"(6, 19)",0.0681,HE
20,39,1,19,"T(1, 19, 20)",0.0108,"(1, 21)",0.0386,"(1, 20)",0.0411,"(6, 20)",0.0628,HE
20,40,1,20,"T(1, 20, 20)",0.0106,"(1, 21)",0.0379,"(1, 20)",0.0404,"(6, 20)",0.0626,HE
21,41,1,20,"T(1, 20, 21)",0.0098,"(1, 22)",0.0352,"(1, 21)",0.0373,"(6, 21)",0.0564,HE
21,42,1,21,"T(1, 21, 21)",0.0096,"(1, 22)",0.0346,"(1, 21)",0.0367,"(6, 21)",0.056,HE
22,43,1,21,"T(1, 21, 22)",0.0089,"(1, 23)",0.0321,"(1, 22)",0.034,"(6, 22)",0.0505,HE
22,44,1,22,"T(1, 22, 22)",0.0087,"(1, 23)",0.0316,"(1, 22)",0.0335,"(7, 22)",0.0501,HE
23,45,1,22,"T(1, 22, 23)",0.0081,"(1, 24)",0.0295,"(1, 23)",0.0311,"(7, 23)",0.0471,HE
23,46,1,23,"T(1, 23, 23)",0.008,"(1, 24)",0.029,"(1, 23)",0.0307,"(7, 23)",0.0471,HE
24,47,1,23,"T(1, 23, 24)",0.0074,"(1, 25)",0.0271,"(1, 24)",0.0286,"(7, 24)",0.0434,HE
24,48,1,24,"T(1, 24, 24)",0.0073,"(1, 25)",0.0268,"(1, 24)",0.0282,"(7, 24)",0.0432,HE
25,49,1,24,"T(1, 24, 25)",0.0068,"(1, 26)",0.0251,"(1, 25)",0.0264,"(7, 25)",0.0396,HE
25,50,1,25,"T(1, 25, 25)",0.0067,"(1, 26)",0.0247,"(1, 25)",0.026,"(7, 25)",0.0393,HE
26,51,1,25,"T(1, 25, 26)",0.0063,"(1, 27)",0.0232,"(1, 26)",0.0244,"(8, 26)",0.0365,HE
26,52,1,26,"T(1, 26, 26)",0.0062,"(1, 27)",0.0229,"(1, 26)",0.0241,"(8, 26)",0.0365,HE
27,53,1,26,"T(1, 26, 27)",0.0058,"(1, 28)",0.0216,"(1, 27)",0.0226,"(8, 27)",0.0342,HE
27,54,1,27,"T(1, 27, 27)",0.0058,"(1, 28)",0.0213,"(1, 27)",0.0224,"(8, 27)",0.0341,HE
28,55,1,27,"T(1, 27, 28)",0.0054,"(1, 29)",0.0201,"(1, 28)",0.0211,"(8, 28)",0.0317,HE
28,56,1,28,"T(1, 28, 28)",0.0054,"(1, 29)",0.0199,"(1, 28)",0.0208,"(8, 28)",0.0316,HE
29,57,1,28,"T(1, 28, 29)",0.0051,"(1, 30)",0.0188,"(1, 29)",0.0196,"(8, 29)",0.0293,HE
29,58,1,29,"T(1, 29, 29)",0.005,"(1, 30)",0.0186,"(1, 29)",0.0194,"(8, 29)",0.0291,HE
30,59,1,29,"T(1, 29, 30)",0.0047,"(1, 31)",0.0176,"(1, 30)",0.0183,"(9, 30)",0.0275,HE
30,60,1,30,"T(1, 30, 30)",0.0047,"(1, 31)",0.0174,"(1, 30)",0.0181,"(9, 30)",0.0275,HE
