D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
3,5,1,2,"T(1, 2, 3)",0.52,"(0, 3)",0.83,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,6,1,3,"T(1, 3, 3)",0.49,"(0, 3)",0.76,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,6,2,2,"T(2, 2, 3)",0.44,"(0, 4)",0.66,"(0, 3)",0.63,"(1, 4)",0.66,HE
3,7,1,4,"T(1, 4, 3)",0.47,"(0, 3)",0.73,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,7,2,3,"T(2, 3, 3)",0.4,"(0, 4)",0.59,"(0, 3)",0.6,"(1, 3)",0.6,HE
3,8,1,5,"T(1, 5, 3)",0.45,"(0, 3)",0.7,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,8,2,4,"T(2, 4, 3)",0.37,"(0, 4)",0.54,"(0, 3)",0.57,"(0, 3)",0.57,Iguais
3,8,3,3,"T(3, 3, 3)",0.35,"(0, 5)",0.51,"(0, 4)",0.51,"(1, 6)",0.51,HE
3,9,1,6,"T(1, 6, 3)",0.44,"(0, 3)",0.69,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,9,2,5,"T(2, 5, 3)",0.36,"(0, 4)",0.52,"(0, 3)",0.56,"(0, 3)",0.56,Iguais
3,9,3,4,"T(3, 4, 3)",0.33,"(0, 5)",0.47,"(0, 4)",0.48,"(1, 4)",0.48,HE
3,10,1,7,"T(1, 7, 3)",0.44,"(0, 3)",0.67,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,10,2,6,"T(2, 6, 3)",0.35,"(0, 4)",0.5,"(0, 3)",0.55,"(1, 3)",0.55,HE
3,10,3,5,"T(3, 5, 3)",0.31,"(0, 5)",0.44,"(0, 4)",0.46,"(2, 4)",0.46,HE
3,10,4,4,"T(4, 4, 3)",0.3,"(0, 6)",0.42,"(0, 5)",0.43,"(4, 9)",0.43,HE
3,11,1,8,"T(1, 8, 3)",0.43,"(0, 3)",0.66,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,11,2,7,"T(2, 7, 3)",0.34,"(0, 4)",0.48,"(0, 3)",0.54,"(0, 3)",0.54,Iguais
3,11,3,6,"T(3, 6, 3)",0.3,"(0, 5)",0.42,"(0, 4)",0.45,"(1, 4)",0.45,HE
3,11,4,5,"T(4, 5, 3)",0.28,"(0, 6)",0.39,"(0, 5)",0.41,"(0, 5)",0.41,Iguais
3,12,1,9,"T(1, 9, 3)",0.43,"(0, 3)",0.66,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,12,2,8,"T(2, 8, 3)",0.33,"(0, 4)",0.47,"(0, 3)",0.53,"(1, 3)",0.53,HE
3,12,3,7,"T(3, 7, 3)",0.29,"(0, 5)",0.4,"(0, 4)",0.43,"(0, 4)",0.43,Iguais
3,12,4,6,"T(4, 6, 3)",0.26,"(0, 6)",0.37,"(0, 5)",0.39,"(1, 5)",0.39,HE
3,12,5,5,"T(5, 5, 3)",0.26,"(0, 7)",0.36,"(0, 6)",0.37,"(5, 8)",0.37,HE
3,13,1,10,"T(1, 10, 3)",0.42,"(0, 3)",0.65,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,13,2,9,"T(2, 9, 3)",0.32,"(0, 4)",0.46,"(0, 3)",0.52,"(1, 3)",0.52,HE
3,13,3,8,"T(3, 8, 3)",0.28,"(0, 5)",0.39,"(0, 4)",0.42,"(2, 4)",0.42,HE
3,13,4,7,"T(4, 7, 3)",0.25,"(0, 6)",0.35,"(0, 5)",0.38,"(2, 5)",0.38,HE
3,13,5,6,"T(5, 6, 3)",0.24,"(0, 7)",0.34,"(0, 6)",0.35,"(0, 6)",0.35,Iguais
3,14,1,11,"T(1, 11, 3)",0.42,"(0, 3)",0.64,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,14,2,10,"T(2, 10, 3)",0.32,"(0, 4)",0.46,"(0, 3)",0.52,"(1, 3)",0.52,HE
3,14,3,9,"T(3, 9, 3)",0.27,"(0, 5)",0.38,"(0, 4)",0.42,"(2, 4)",0.42,HE
3,14,4,8,"T(4, 8, 3)",0.25,"(0, 6)",0.34,"(0, 5)",0.37,"(2, 5)",0.37,HE
3,14,5,7,"T(5, 7, 3)",0.23,"(0, 7)",0.32,"(0, 6)",0.34,"(0, 6)",0.34,Iguais
3,14,6,6,"T(6, 6, 3)",0.23,"(0, 8)",0.32,"(0, 7)",0.33,"(3, 7)",0.33,HE
3,15,1,12,"T(1, 12, 3)",0.42,"(0, 3)",0.64,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,15,2,11,"T(2, 11, 3)",0.31,"(0, 4)",0.45,"(0, 3)",0.52,"(0, 3)",0.52,Iguais
3,15,3,10,"T(3, 10, 3)",0.27,"(0, 5)",0.37,"(0, 4)",0.41,"(1, 4)",0.41,HE
3,15,4,9,"T(4, 9, 3)",0.24,"(0, 6)",0.33,"(0, 5)",0.36,"(2, 5)",0.36,HE
3,15,5,8,"T(5, 8, 3)",0.22,"(0, 7)",0.31,"(0, 6)",0.33,"(2, 6)",0.33,HE
3,15,6,7,"T(6, 7, 3)",0.22,"(0, 8)",0.3,"(0, 7)",0.31,"(2, 7)",0.31,HE
3,16,1,13,"T(1, 13, 3)",0.41,"(0, 3)",0.64,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,16,2,12,"T(2, 12, 3)",0.31,"(0, 4)",0.45,"(0, 3)",0.51,"(0, 3)",0.51,Iguais
3,16,3,11,"T(3, 11, 3)",0.26,"(0, 5)",0.37,"(0, 4)",0.41,"(0, 4)",0.41,Iguais
3,16,4,10,"T(4, 10, 3)",0.23,"(0, 6)",0.32,"(0, 5)",0.35,"(0, 5)",0.35,Iguais
3,16,5,9,"T(5, 9, 3)",0.22,"(0, 7)",0.3,"(0, 6)",0.32,"(0, 6)",0.32,Iguais
3,16,6,8,"T(6, 8, 3)",0.21,"(0, 8)",0.29,"(0, 7)",0.3,"(2, 7)",0.3,HE
3,16,7,7,"T(7, 7, 3)",0.2,"(0, 9)",0.28,"(0, 8)",0.29,"(7, 14)",0.29,HE
3,17,1,14,"T(1, 14, 3)",0.41,"(0, 3)",0.63,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,17,2,13,"T(2, 13, 3)",0.31,"(0, 4)",0.44,"(0, 3)",0.51,"(0, 3)",0.51,Iguais
3,17,3,12,"T(3, 12, 3)",0.26,"(0, 5)",0.36,"(0, 4)",0.4,"(0, 4)",0.4,Iguais
3,17,4,11,"T(4, 11, 3)",0.23,"(0, 6)",0.32,"(0, 5)",0.35,"(2, 5)",0.35,HE
3,17,5,10,"T(5, 10, 3)",0.21,"(0, 7)",0.29,"(0, 6)",0.31,"(3, 6)",0.31,HE
3,17,6,9,"T(6, 9, 3)",0.2,"(0, 8)",0.27,"(0, 7)",0.29,"(0, 7)",0.29,Iguais
3,17,7,8,"T(7, 8, 3)",0.19,"(0, 9)",0.27,"(0, 8)",0.28,"(4, 8)",0.28,HE
3,18,1,15,"T(1, 15, 3)",0.41,"(0, 3)",0.63,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,18,2,14,"T(2, 14, 3)",0.31,"(0, 4)",0.44,"(0, 3)",0.51,"(0, 3)",0.51,Iguais
3,18,3,13,"T(3, 13, 3)",0.25,"(0, 5)",0.36,"(0, 4)",0.4,"(2, 4)",0.4,HE
3,18,4,12,"T(4, 12, 3)",0.22,"(0, 6)",0.31,"(0, 5)",0.34,"(3, 5)",0.34,HE
3,18,5,11,"T(5, 11, 3)",0.2,"(0, 7)",0.28,"(0, 6)",0.31,"(2, 6)",0.31,HE
3,18,6,10,"T(6, 10, 3)",0.19,"(0, 8)",0.27,"(0, 7)",0.29,"(2, 7)",0.29,HE
3,18,7,9,"T(7, 9, 3)",0.19,"(0, 9)",0.26,"(0, 8)",0.27,"(3, 8)",0.27,HE
3,18,8,8,"T(8, 8, 3)",0.18,"(0, 10)",0.25,"(0, 9)",0.27,"(8, 11)",0.27,HE
3,19,1,16,"T(1, 16, 3)",0.41,"(0, 3)",0.63,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,19,2,15,"T(2, 15, 3)",0.3,"(0, 4)",0.43,"(0, 3)",0.5,"(0, 3)",0.5,Iguais
3,19,3,14,"T(3, 14, 3)",0.25,"(0, 5)",0.35,"(0, 4)",0.39,"(2, 4)",0.39,HE
3,19,4,13,"T(4, 13, 3)",0.22,"(0, 6)",0.3,"(0, 5)",0.34,"(1, 5)",0.34,HE
3,19,5,12,"T(5, 12, 3)",0.2,"(0, 7)",0.28,"(0, 6)",0.3,"(1, 6)",0.3,HE
3,19,6,11,"T(6, 11, 3)",0.19,"(0, 8)",0.26,"(0, 7)",0.28,"(0, 7)",0.28,Iguais
3,19,7,10,"T(7, 10, 3)",0.18,"(0, 9)",0.25,"(0, 8)",0.27,"(5, 8)",0.27,HE
3,19,8,9,"T(8, 9, 3)",0.18,"(0, 10)",0.24,"(0, 9)",0.26,"(1, 9)",0.26,HE
3,20,1,17,"T(1, 17, 3)",0.41,"(0, 3)",0.62,"(0, 2)",1.0,"(0, 2)",1.0,Iguais
3,20,2,16,"T(2, 16, 3)",0.3,"(0, 4)",0.43,"(0, 3)",0.5,"(0, 3)",0.5,Iguais
3,20,3,15,"T(3, 15, 3)",0.25,"(0, 5)",0.35,"(0, 4)",0.39,"(2, 4)",0.39,HE
3,20,4,14,"T(4, 14, 3)",0.22,"(0, 6)",0.3,"(0, 5)",0.33,"(0, 5)",0.33,Iguais
3,20,5,13,"T(5, 13, 3)",0.2,"(0, 7)",0.27,"(0, 6)",0.3,"(2, 6)",0.3,HE
3,20,6,12,"T(6, 12, 3)",0.18,"(0, 8)",0.25,"(0, 7)",0.27,"(4, 7)",0.27,HE
3,20,7,11,"T(7, 11, 3)",0.18,"(0, 9)",0.24,"(0, 8)",0.26,"(3, 8)",0.26,HE
3,20,8,10,"T(8, 10, 3)",0.17,"(0, 10)",0.23,"(0, 9)",0.25,"(4, 9)",0.25,HE
3,20,9,9,"T(9, 9, 3)",0.17,"(0, 11)",0.23,"(0, 10)",0.25,"(3, 10)",0.25,HE
